source_id,source_name,reference_or_url,molecule_type,assay_type,property_name,property_unit,number_of_peptides,has_sequence,has_smiles,has_helm,has_monomer_list,has_noncanonical_residue,has_same_scaffold_sar,can_construct_matched_pairs,estimated_pair_count,priority,confidence_note,notes
SRC026,DRAMP 4.0,https://pmc.ncbi.nlm.nih.gov/articles/PMC11701585/,antimicrobial peptides,"antimicrobial; hemolysis; cytotoxicity; stability",AMP activity and safety,various,20000+,yes,partial,no,partial,yes,partial,possible,low,B,"Open AMP repository with general, patent and clinical entries; DRAMP 4.0 adds serum/protease stability and updates hemolytic/cytotoxic information.","Auxiliary safety/stability labels; not a permeability dataset."
SRC027,CAMP_R4,https://academic.oup.com/nar/article/51/D1/D377/6825344,antimicrobial peptides,antimicrobial activity,AMP classification/activity,various,24243,yes,partial,no,partial,yes,partial,possible,low,B,"CAMP_R4 reports 24243 sequences, including 16945 experimentally validated entries and synthetic AMP coverage.","Useful for synthetic peptide pretraining and activity/toxicity context; weak relevance to cyclic peptide permeability."
SRC028,APD6/APD,https://aps.unmc.edu/,antimicrobial peptides,"antimicrobial; hemolysis",AMP activity and annotations,various,4928,yes,partial,no,partial,yes,partial,possible,low,B,"APD6 page reports 4928 peptides with demonstrated antimicrobial activity; APD includes hemolytic activity annotations.","Auxiliary peptide property labels; mostly natural AMPs."
SRC029,dbAMP 3.0,https://academic.oup.com/nar/article/53/D1/D364/7900191,antimicrobial peptides,"antimicrobial; hemolysis; half-life",AMP activity and optimization,various,NA,yes,partial,no,partial,yes,partial,possible,low,B,"Updated dbAMP includes tools/annotations for hemolytic toxicity and half-life of AMPs.","Auxiliary toxicity/stability labels after export availability check."
SRC030,SATPdb,https://academic.oup.com/nar/article/44/D1/D1119/2502618,therapeutic peptides,multiple therapeutic activities,therapeutic class/structure annotations,various,19192,yes,partial,partial,partial,yes,unknown,no,NA,C,"Structurally annotated therapeutic peptide database; paper reports 19192 unique experimentally validated peptide sequences of length 2-50, including natural, non-natural and modified residues.","Good broad pretraining/annotation source, but labels are not permeability or matched edits."
SRC031,THPdb,https://pmc.ncbi.nlm.nih.gov/articles/PMC5536290/,FDA-approved therapeutic peptides/proteins,clinical/PK annotations,approved therapeutic metadata,various,852,yes,partial,no,partial,yes,unknown,no,NA,C,"FDA-approved therapeutic peptide/protein database; paper reports 852 entries covering 239 drugs and 380 variants.","Useful for clinically relevant modification examples and route/PK metadata, not model training labels."
SRC032,PepTherDia,https://peptherdia.herokuapp.com/,approved peptide therapeutics/diagnostics,clinical/PK/physicochemical annotations,approved peptide metadata,various,NA,yes,partial,no,partial,yes,unknown,no,NA,C,"Manually curated database of approved peptide drugs and diagnostics with physicochemical, pharmacokinetic, indication and route information.","Use for discussion/case studies and modification vocabulary; not high-throughput data."
SRC033,SwissSidechain,https://www.swisssidechain.ch/,non-natural amino acid sidechains,none,sidechain structures and parameters,NA,230,no,yes,no,yes,yes,NA,no,NA,A,"Provides PDB/MOL2/SMILES and modeling parameters for hundreds of non-natural amino acid sidechains in L and D forms.","High-value monomer_anchor_table and chemical_payload vocabulary source."
SRC034,HELMMonomerSets,https://github.com/PistoiaHELM/HELMMonomerSets,monomers,none,HELM monomer definitions,NA,322,no,yes,yes,yes,yes,NA,no,NA,A,"Pistoia HELM core monomer repository; pyPept paper notes the Pistoia set has 322 HELM monomers.","Use as canonical monomer notation and attachment point reference."
SRC035,NORINE,https://norine.univ-lille.fr/NRP/,nonribosomal peptides,none,NRP structure and monomer annotation,NA,1000+,yes,yes,no,yes,yes,unknown,no,NA,C,"NRP database with nonproteogenic amino acids, cyclic and branched peptide structures; current site says more than 1000 NRPs.","Auxiliary natural product monomer/scaffold dictionary."
SRC036,CyclicPepedia,https://pmc.ncbi.nlm.nih.gov/articles/PMC11056021/,cyclic peptides,pharmacokinetic/biological annotations,cyclic peptide knowledge base,various,8744,yes,yes,partial,yes,yes,unknown,no,NA,B,"Knowledge base of 8744 natural and synthetic cyclic peptides with structural, physicochemical and pharmacokinetic-profile information.","Good external cyclic peptide annotation source; inspect export fields before use."
SRC037,CyBase,https://academic.oup.com/nar/article/36/suppl_1/D206/2507945,backbone-cyclized proteins/cyclotides,activity annotations,sequence/structure/function,various,251,yes,partial,no,partial,yes,unknown,no,NA,C,"Curated database of backbone-cyclized proteins; 2008 paper reported 251 protein sequences, 39 structures and activity-related entries.","Useful for cyclic topology examples, not permeability."
SRC038,ConoServer,https://academic.oup.com/bioinformatics/article/24/3/445/253535,conopeptides,activity/target annotations,sequence/PTM/structure/activity,various,2258,yes,partial,no,partial,yes,unknown,no,NA,C,"Conopeptide database; paper reports 2258 protein sequences and PTM-aware displays.","Useful for PTM vocabulary and disulfide-rich peptide structures, not permeability."
SRC039,Cyclic Peptide DataBank CPDB,https://www.frcbs.tsinghua.edu.cn/cpdb/,disulfide-containing cyclic peptides,none,3D structures,NA,NA,yes,yes,no,partial,yes,unknown,no,NA,C,"3D structure knowledge base focused on cyclic peptides containing disulfide bonds.","Potential external 3D/topology resource."
SRC040,MacroConf,https://pubs.rsc.org/en/content/articlelanding/2023/dd/d3dd00053b,cyclic peptides and macrocycles,none,solution NMR conformer benchmark,NA,68,no,yes,no,no,partial,no,no,NA,C,"Dataset/workflows for reproducing experimental cyclic peptide and macrocycle solution structures; paper reports 68 structures.","Use for 3D-risk/conformer benchmark, not property prediction."
SRC041,SWEMacrocycleDB web,https://swemacrocycledb.com/About/,nonpeptidic/semipeptidic macrocycles,"PAMPA; Caco2; MDCK; RRCK; others",membrane permeability,various,4602,no,yes,no,no,partial,unknown,no,NA,C,"Website states descriptors for 4602 unique macrocycles and complements CycPeptMPDB.","External macrocycle permeability comparison, not peptide edit data."
SRC042,Therapeutics Data Commons ADME,https://tdcommons.ai/single_pred_tasks/adme/,small molecules,ADME including PAMPA/Caco2,ADME endpoints,various,NA,no,yes,no,no,no,no,no,NA,D,"General small-molecule ADME benchmark collection with PAMPA/Caco2 tasks.","Use only for baseline methodology or transfer learning sanity checks; outside peptide chemistry."
SRC043,ChEMBL ADME assays,https://www.ebi.ac.uk/chembl/,small molecules and some peptides,"Caco2; PAMPA; other ADME",assay records,various,NA,partial,yes,no,no,partial,unknown,possible,unknown,D,"Large heterogeneous bioactivity database with ADME assay records; requires heavy curation and unit normalization.","Not first-wave source; consider later for macrocycle/small-molecule permeability baselines."
SRC044,SmProt,https://bigdata.ibp.ac.cn/SmProt/,small proteins/sORF peptides,none,large peptide corpus,NA,800000+,yes,no,no,no,no,no,no,NA,D,"Used by peptide language-model papers as a large unlabeled peptide corpus.","Unlabeled pretraining only; not directly useful for edit-level property labels."
